Country;Economic Region;Population (2020);Coastline(WRI)(km);Coast/Area Ratio (WRI) (m/km2);Happiness Report;GDP Per Capita (2020)
Afghanistan;APAC;38.928.346,00;0,00;0,00;3,203;516,75
Albania;EMEA;2.877.797,00;649,00;23,70;4,719;5.246,29
Algeria;EMEA;43.851.044,00;1.557,00;0,65;5,211;3.306,86
Andorra;EMEA;77.265,00;0;0;#N/A;
Angola;EMEA;32.866.272,00;2.252,00;1,81;#N/A;1.776,17
Antigua and Barbuda;LATAM;97.929,00;289,00;653,00;#N/A;13.992,74
Argentina;LATAM;45.195.774,00;8.397,00;3,07;6,086;8.579,02
Armenia;EMEA;2.963.243,00;0,00;0,00;4,559;4.266,02
Australia;APAC;25.499.884,00;66.530,00;8,66;7,228;51.692,84
Austria;EMEA;9.006.398,00;0,00;0,00;7,246;48.586,80
Azerbaijan;EMEA;10.139.177,00;871,00;10,50;5,208;4.221,41
Bahamas, The;LATAM;393.244,00;11.238,00;1.120,00;#N/A;25.194,03
Bahrain;EMEA;1.701.575,00;255,00;336,00;6,199;20.409,95
Bangladesh;APAC;164.689.383,00;3.306,00;25,40;4,456;1.961,61
Barbados;LATAM;287.375,00;97,00;226,00;#N/A;15.373,85
Belarus;EMEA;9.449.323,00;0,00;0,00;5,323;6.424,15
Belgium;EMEA;11.589.623,00;76,00;2,51;6,923;45.159,35
Belize;LATAM;397.628,00;1.996,00;87,50;#N/A;4.115,18
Benin;EMEA;12.123.200,00;153,00;1,38;4,883;1.291,04
Bhutan;APAC;771.608,00;0,00;0,00;5,082;3.000,78
Bolivia;LATAM;11.673.021,00;0,00;0,00;5,779;3.133,10
Bosnia and Herzegovina;EMEA;3.280.819,00;23,00;449,00;5,386;6.079,74
Botswana;EMEA;2.351.627,00;0,00;0,00;3,488;6.404,90
Brazil;LATAM;212.559.417,00;33.379,00;3,99;6,300;6.796,84
Brunei;APAC;437.479,00;269,00;51,10;#N/A;27.442,95
Bulgaria;EMEA;6.948.445,00;457,00;4,21;5,011;10.079,20
Burkina Faso;EMEA;20.903.273,00;0,00;0,00;4,587;857,93
Burundi;EMEA;11.890.784,00;0,00;0,00;3,775;238,99
Cabo Verde;EMEA;555.987,00;1.121,00;278,00;#N/A;3.064,27
Cambodia;APAC;16.718.965,00;1.127,00;6,38;4,700;1.543,67
