WorkerID,CurrentCompany,CurrentRole,IsTempProfile,WorkerJobSearchStatus,ConnectionPipelineStatus,ProfileAddedAt,ProfileAddedBy,TalentCommunitySource,TalentPoolCount,StarRating,State,Country,Economic Region,Population (2020),Coastline(WRI)(km),Coast/Area Ratio (WRI) (m/km2),Happiness Report,GWP Per Capita (2020),City,Postcode,RecruiterMessage,WorkerMessage,TotalResponseRate,LastCommunicatedAt,LastCommunicatedBy,CvStrength,ExperienceYears,Company
3044146,,,TRUE,,Community,9/10/2020 13:50,Stina Krause,,,OneStarReview,,Singapore,APAC,"5.850.342,00","268,00","378,00","6,262","59.797,75",,,1,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
3038278,Hakawati,Chief Officer,FALSE,Available Soon,Talent Pool,9/9/2020 13:11,Stina Krause,Talent Invite,,FiveStarReview,,Hong Kong,APAC,"7.413.000,00","955,00","890,00","5,43","49.660,00",Sai Kung,,1,,0,6/6/2022 13:46,christina@myachts.team,40,2,myCrew
6104002,,,TRUE,,In Progress,3/8/2022 17:38,Sarah Kroker,Manually Added,2,FiveStarReview,IB,Spain,EMEA,"46.754.778,00","7.268,00","14,60","6,354","27.063,19",Palma,,1,,0,6/6/2022 13:35,christina@myachts.team,45,20,myCrew
7520512,,,TRUE,,Community,12/5/2022 10:59,Nik Kellerwessel,,,FourStarReview,,Australia,APAC,"25.499.884,00","66.530,00","8,66","7,228","51.692,84",,,,,,,,25,,myCrew
6627357,,,TRUE,,Community,6/8/2022 12:50,Julie Semler,,,OneStarReview,,Australia,APAC,"25.499.884,00","66.530,00","8,66","7,228","51.692,84",,,,,,,,25,,myCrew
2947101,,,TRUE,,Archived,8/20/2020 10:14,Julie Semler,,,TwoStarReview,,Hong Kong,APAC,"7.413.000,00","955,00","890,00","5,43","49.660,00",,,,,,,,0,,myCrew
2947092,,,TRUE,,Archived,8/20/2020 10:11,Julie Semler,,,FourStarReview,,France,EMEA,"65.273.511,00","7.330,00","11,40","6,592","39.030,36",,,,,,,,0,,myCrew
6290006,,,FALSE,,Community,3/25/2022 14:38,Christina von Carben,Careers Website,,FourStarReview,,Australia,APAC,"25.499.884,00","66.530,00","8,66","7,228","51.692,84",,,1,,0,6/6/2022 13:46,christina@myachts.team,35,,myCrew
4636717,Y Event,Chief Officer onboard M,TRUE,,Community,5/21/2021 16:31,Christina von Carben,,,ThreeStarReview,TAS,Australia,APAC,"25.499.884,00","66.530,00","8,66","7,228","51.692,84",Wiltshire,7321,1,,0,6/6/2022 13:43,christina@myachts.team,45,16,myCrew
4812865,,CAPTAIN,TRUE,,Community,7/15/2021 8:31,Christina von Carben,Talent Community,,FourStarReview,,Croatia,EMEA,"4.105.267,00","5.664,00","101,00","5,432","14.134,16",,,1,,0,6/6/2022 13:39,christina@myachts.team,50,6,myCrew
4780869,,,TRUE,,Community,7/6/2021 13:05,Christina von Carben,,,TwoStarReview,,Ukraine,EMEA,"43.733.762,00","4.953,00","8,55","4,332","3.724,94",,,2,,0,6/6/2022 13:47,christina@myachts.team,0,,myCrew
4653400,,Seaman,TRUE,,Community,5/27/2021 9:57,Christina von Carben,Talent Community,,FiveStarReview,,Maldives,EMEA,"540.544,00","2.002,00","6,72",#N/A,"6.924,11",,,1,,0,6/6/2022 13:43,christina@myachts.team,50,14,myCrew
