Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]","International tourism, expenditures (% of total imports) [ST.INT.XPND.MP.ZS]","International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, expenditures for passenger transport items (current US$) [ST.INT.TRNX.CD]","International tourism, expenditures for travel items (current US$) [ST.INT.TVLX.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, number of departures [ST.INT.DPRT]",Losses due to theft and vandalism (% of annual sales of affected firms) [IC.FRM.CRIM.ZS],Consumer price index (2010 = 100) [FP.CPI.TOTL],Price level ratio of PPP conversion factor (GDP) to market exchange rate [PA.NUS.PPPC.RF]
2019,YR2019,Afghanistan,AFG,"2065,036235","2,279257999",168000000,39000000,129000000,,,,"149,8959752","0,229616946"
2020,YR2020,Afghanistan,AFG,"1970,560169","0,701718914",49000000,19000000,30000000,,,,,"0,248618269"
2021,YR2021,Afghanistan,AFG,,,,,,,,,,
2019,YR2019,Albania,ALB,"13653,20157","26,7405365",1852000000,82000000,1770000000,6406000,5922000,"4,5","119,0492584","0,38545985"
2020,YR2020,Albania,ALB,"13253,73334","14,19431235",805000000,42000000,763000000,2658000,2907000,,"120,9789119","0,391144917"
2021,YR2021,Albania,ALB,"14520,11103",,,,,,,,"123,448662","0,415081713"
2019,YR2019,Algeria,DZA,"11521,98421","1,234818416",670000000,32000000,638000000,2371000,5732000,,"151,3616678","0,332243528"
2020,YR2020,Algeria,DZA,"10735,38254","0,641575959",272000000,38000000,234000000,591000,1386000,,"155,0172502","0,292039833"
2021,YR2021,Algeria,DZA,"10957,15992",,,,,,,,"166,2188945","0,31277595"
2019,YR2019,American Samoa,ASM,,,,,,"19200,00076",,,,
2020,YR2020,American Samoa,ASM,,,,,,"899,9999762",,,,
2021,YR2021,American Samoa,ASM,,,,,,,,,,
2019,YR2019,Andorra,AND,,"9,202301386",187000000,7000000,180000000,8235000,,,,
2020,YR2020,Andorra,AND,,,,,,5207000,,,,
2021,YR2021,Andorra,AND,,,,,,,,,,
2019,YR2019,Angola,AGO,"6712,021615","3,215343436",717000000,248000000,469000000,218000,,,"378,8837215","0,311323188"
2020,YR2020,Angola,AGO,"6141,963839","4,562354804",691000000,76000000,615000000,,,,,"0,251828965"
2021,YR2021,Angola,AGO,"5990,416805",,,,,,,,,"0,324858797"
2019,YR2019,Antigua and Barbuda,ATG,"21850,13341","10,08688503",119000000,27000000,92000000,1035000,,,"115,4366126","0,763060497"
2020,YR2020,Antigua and Barbuda,ATG,"17293,30231","4,74451966",35000000,8000000,27000000,384500,,,"116,1592339","0,76713008"
2021,YR2021,Antigua and Barbuda,ATG,"18057,29129",,,,,,,,"118,5555947","0,751137221"
2019,YR2019,Argentina,ARG,"22066,10101","14,79164639",9845000000,1995000000,7850000000,7399000,15352000,,,"0,438152089"
